0,0,0,0,0,0, ,0,0
0,57,0,1,0.000363,1,Pylon Assimilator Assimilator Probe Probe Gateway Zealot Gateway Nexus Zealot Zealot Nexus Pylon Probe Gateway Gateway Zealot Nexus Probe Zealot Gateway Probe Nexus Probe Zealot Pylon Pylon Nexus Nexus Nexus Assimilator Pylon Pylon Pylon Nexus Zealot Nexus CyberneticsCore Zealot RoboticsFacility RoboticsBay Probe Probe Zealot TwilightCouncil Zealot Adept Zealot Adept TemplarArchive DarkShrine Immortal Probe Gateway Colossus Probe,17.25,109482
0,140,0,2,0.000966,2,Assimilator Pylon Nexus Pylon Probe Probe Gateway Zealot Probe Nexus Probe Pylon CyberneticsCore Zealot Stalker Pylon Gateway Probe Stargate VoidRay TwilightCouncil Adept Nexus Nexus Stalker RoboticsFacility Immortal Stargate Gateway Adept Stargate Pylon Probe Probe RoboticsFacility Adept Assimilator Adept Stargate Probe VoidRay Pylon RoboticsFacility Probe Stargate Stalker Nexus RoboticsBay Gateway Pylon Stargate RoboticsFacility RoboticsFacility FleetBeacon Stalker Gateway Probe TemplarArchive Adept Carrier Probe VoidRay Adept DarkShrine Tempest Assimilator RoboticsFacility VoidRay Stargate Zealot Zealot Zealot Carrier Gateway Pylon Assimilator Nexus Gateway Gateway Pylon Zealot Pylon,49.5,315972
0,205,0,3,0.001373,3,Probe Pylon Probe Pylon Probe Probe Gateway Gateway Zealot CyberneticsCore Zealot Nexus Zealot Nexus Zealot Pylon Probe Probe Zealot Gateway Zealot Assimilator Nexus Assimilator Stalker Stargate Pylon RoboticsFacility Stalker Adept Immortal Adept Immortal Immortal Assimilator TwilightCouncil Stargate Nexus TemplarArchive VoidRay VoidRay RoboticsFacility Probe Adept Pylon VoidRay VoidRay Pylon Gateway Pylon DarkShrine Immortal RoboticsBay DarkTemplar FleetBeacon Carrier Colossus Zealot Colossus Tempest Immortal Stargate Probe Probe,68,497649
0,3495,0,63,0.022067,63,Probe Probe Probe Pylon Assimilator Pylon Probe Pylon Nexus Nexus Assimilator Probe Probe Pylon Gateway Gateway CyberneticsCore Stalker Probe Stargate TwilightCouncil FleetBeacon VoidRay Probe Nexus VoidRay Tempest Tempest RoboticsFacility Pylon TemplarArchive Probe Immortal Tempest Pylon Immortal Zealot RoboticsFacility Nexus Zealot Carrier RoboticsFacility Tempest Zealot Stargate Nexus Gateway Mothership Probe Tempest RoboticsBay Stalker DarkShrine Pylon Probe DarkTemplar Assimilator Tempest Gateway RoboticsFacility Zealot Tempest Adept Gateway Nexus Immortal Adept Nexus Zealot Zealot Carrier DarkTemplar RoboticsFacility,77.5,523783
4,12506,0,232,0.087434,232,Assimilator Assimilator Probe Probe Pylon Gateway Pylon Probe Pylon Zealot CyberneticsCore Stalker Probe Stargate Probe Probe RoboticsFacility Stalker FleetBeacon Carrier RoboticsFacility Mothership Gateway Gateway RoboticsFacility Pylon Adept Probe RoboticsBay Immortal Nexus VoidRay Carrier Adept Stargate Pylon Gateway Zealot Probe Stalker VoidRay Pylon Colossus Assimilator Immortal RoboticsFacility Stalker Pylon Immortal Pylon TwilightCouncil Colossus Colossus Stargate Pylon Zealot TemplarArchive Probe VoidRay Stargate Probe Stargate Assimilator Pylon RoboticsFacility Pylon Stargate Gateway,70.75,544997
10,28638,0,531,0.200318,531,Probe Probe Pylon Nexus Probe Nexus Assimilator Pylon Probe Probe Pylon Probe Gateway Probe CyberneticsCore Zealot TwilightCouncil Gateway DarkShrine Probe RoboticsFacility Stalker Assimilator DarkTemplar Zealot RoboticsBay Assimilator RoboticsFacility TemplarArchive Pylon Immortal Immortal Pylon Adept Pylon Colossus Nexus Stargate Colossus Immortal Stargate Stalker Pylon FleetBeacon Stalker Carrier Tempest DarkTemplar Probe Mothership Gateway VoidRay DarkTemplar DarkTemplar RoboticsFacility Adept Carrier RoboticsFacility Colossus Colossus VoidRay Adept RoboticsFacility Probe Pylon RoboticsFacility Stalker Pylon Tempest Stargate,86.25,553141
21,56679,0,1043,0.382534,1043,Probe Probe Probe Pylon Pylon Probe Pylon Assimilator Assimilator Gateway Probe Probe CyberneticsCore Stargate FleetBeacon RoboticsFacility VoidRay RoboticsBay Carrier Adept Carrier Stargate Pylon Immortal Carrier Nexus VoidRay Probe Assimilator Adept VoidRay Gateway Nexus Adept Carrier Adept Nexus Pylon Stalker Immortal Pylon Adept Colossus Stargate Gateway Zealot Stalker Tempest RoboticsFacility VoidRay Stalker TwilightCouncil Tempest VoidRay Adept Gateway Probe DarkShrine Gateway,78.75,602432
34,94549,0,1686,0.665141,1686,Probe Assimilator Probe Pylon Assimilator Pylon Probe Pylon Probe Pylon Probe Probe Probe Probe Pylon Pylon Gateway CyberneticsCore Pylon Stargate Gateway Adept Stargate Zealot Gateway FleetBeacon Probe Stalker Pylon Mothership Adept RoboticsFacility Stalker Nexus Stalker Stargate RoboticsBay Gateway Tempest VoidRay Assimilator Probe Carrier VoidRay Stalker Immortal Colossus VoidRay Colossus Nexus Nexus RoboticsFacility Zealot Zealot Nexus Immortal Adept Probe Immortal VoidRay Carrier Tempest RoboticsFacility Stargate RoboticsFacility Gateway Stargate Gateway Nexus Stargate TwilightCouncil Zealot,79.5,613748
94,269318,0,4719,1.71397,4719,Probe Probe Assimilator Assimilator Pylon Probe Probe Pylon Pylon Probe Pylon Probe Gateway Pylon Probe Zealot Gateway CyberneticsCore TwilightCouncil Gateway Probe Stalker Stargate VoidRay Adept Probe Zealot Probe FleetBeacon Stalker Nexus Adept Gateway Pylon Mothership Zealot Tempest Tempest DarkShrine Probe Tempest RoboticsFacility Zealot Carrier Stargate Adept DarkTemplar Stalker TemplarArchive Gateway RoboticsFacility Gateway Pylon Tempest Stalker RoboticsBay RoboticsFacility Nexus Colossus Adept Gateway Tempest RoboticsFacility DarkTemplar Pylon VoidRay VoidRay Pylon Tempest Pylon RoboticsFacility Nexus Carrier Carrier Pylon Adept Zealot Immortal Nexus Nexus Zealot Nexus Stalker Gateway Assimilator,85.75,645766
96,274032,0,4805,1.7418,4805,Probe Probe Assimilator Assimilator Pylon Probe Probe Gateway Probe Zealot Probe Nexus Gateway Pylon Zealot Pylon Probe Probe Zealot Probe Probe CyberneticsCore TwilightCouncil Stalker Zealot Stargate Nexus FleetBeacon Probe Tempest RoboticsFacility Immortal Adept Stargate Probe Gateway Nexus Nexus VoidRay Immortal VoidRay Probe Immortal Nexus Carrier DarkShrine Stalker Mothership Assimilator Probe Immortal Adept DarkTemplar RoboticsFacility Carrier Adept Zealot VoidRay TemplarArchive Stalker Assimilator DarkTemplar Pylon Immortal Immortal Pylon DarkTemplar VoidRay VoidRay Tempest Pylon VoidRay Probe RoboticsFacility RoboticsBay DarkTemplar Nexus Nexus Zealot RoboticsFacility Stargate Probe,100,698746
105,314176,0,5505,1.9894,5505,Probe Probe Pylon Assimilator Probe Assimilator Probe Probe Nexus Probe Probe Probe Gateway Probe Probe Gateway Probe Probe Probe CyberneticsCore Probe TwilightCouncil DarkShrine Stargate Stalker Zealot TemplarArchive Assimilator RoboticsFacility DarkTemplar Nexus Pylon RoboticsFacility Stalker Probe Gateway Immortal Pylon VoidRay Gateway Probe Stargate VoidRay Adept RoboticsFacility Nexus RoboticsFacility VoidRay FleetBeacon Stalker Nexus VoidRay Mothership Immortal Carrier Carrier Tempest RoboticsFacility Stargate Immortal RoboticsFacility Pylon DarkTemplar Stalker RoboticsFacility Nexus VoidRay Pylon RoboticsFacility VoidRay RoboticsFacility RoboticsBay Stalker Stalker Immortal Pylon Carrier Colossus Gateway Carrier Nexus Nexus Assimilator Carrier Zealot RoboticsFacility Stargate Adept Colossus Zealot Pylon Probe,106.25,709499
221,710032,0,12163,4.57705,12163,Probe Probe Assimilator Probe Assimilator Pylon Probe Probe Probe Probe Gateway Zealot Probe Probe CyberneticsCore Pylon Zealot Probe Stargate Pylon Gateway TwilightCouncil RoboticsFacility Pylon Pylon Zealot FleetBeacon DarkShrine Nexus RoboticsBay DarkTemplar DarkTemplar Gateway Probe VoidRay Colossus Adept DarkTemplar Probe VoidRay DarkTemplar Nexus Mothership Stalker Colossus Stargate Assimilator Tempest Pylon TemplarArchive Probe Nexus Gateway VoidRay RoboticsFacility Tempest Immortal Carrier Adept Stargate Adept Assimilator Immortal Adept Pylon Tempest VoidRay Probe Pylon Nexus Carrier Stargate Stalker Adept Immortal Stalker Stalker Adept Stalker Stalker Pylon VoidRay Pylon Stalker Stalker Gateway Stargate,106.75,719310
261,869407,0,14667,5.53851,14667,Probe Probe Assimilator Probe Assimilator Pylon Probe Pylon Probe Pylon Pylon Probe Probe Probe Gateway Zealot Probe Zealot Zealot Pylon Nexus Pylon Probe CyberneticsCore Stargate RoboticsFacility RoboticsBay Zealot VoidRay FleetBeacon Nexus VoidRay Colossus Stalker Colossus Carrier Adept Nexus Zealot Tempest VoidRay Immortal Stalker Zealot Stalker Gateway TwilightCouncil Carrier Mothership Probe Nexus Zealot Immortal Stalker Pylon Immortal Nexus RoboticsFacility Carrier Assimilator Adept Gateway Colossus Nexus Carrier Colossus Probe Nexus Gateway DarkShrine Gateway Adept Immortal Pylon TemplarArchive Assimilator Probe,97.25,722349
561,1899819,0,32202,12.385,32202,Probe Probe Assimilator Probe Pylon Probe Nexus Pylon Probe Pylon Gateway Probe Assimilator Probe Gateway Probe Pylon Nexus Zealot Probe Probe Probe Probe CyberneticsCore Stargate Assimilator RoboticsFacility VoidRay Immortal Stargate Probe VoidRay VoidRay VoidRay RoboticsBay Probe Stargate Immortal Nexus Colossus Stalker Stalker Probe Assimilator FleetBeacon Probe TwilightCouncil VoidRay Carrier Pylon Carrier VoidRay Colossus VoidRay Stargate Stargate Pylon Pylon Mothership Probe RoboticsFacility Tempest Colossus DarkShrine Zealot RoboticsFacility Pylon Colossus Stargate Stalker Assimilator Nexus Gateway Stargate Adept Adept Stargate DarkTemplar Carrier Stargate Stalker Stargate Probe Pylon Stalker Probe DarkTemplar Probe,99.75,723344
676,2296926,0,38836,15.1124,38836,Probe Probe Assimilator Probe Pylon Probe Nexus Probe Probe Probe Probe Probe Probe Pylon Probe Probe Probe Probe Assimilator Probe Pylon Nexus Gateway Nexus Probe CyberneticsCore Probe RoboticsFacility TwilightCouncil Stargate Gateway Gateway Immortal Stalker Probe Adept Zealot Immortal Probe RoboticsFacility FleetBeacon Adept Gateway Stargate Pylon VoidRay RoboticsFacility VoidRay Pylon Mothership Assimilator Adept VoidRay Adept DarkShrine Immortal Carrier VoidRay Immortal Immortal Zealot Immortal Gateway Probe RoboticsFacility Pylon Pylon Carrier Carrier Stalker Pylon Nexus Carrier DarkTemplar VoidRay Gateway Adept VoidRay Stalker RoboticsFacility DarkTemplar Assimilator RoboticsFacility Probe Gateway Probe RoboticsFacility Nexus Assimilator Tempest Carrier Pylon RoboticsFacility Carrier Probe RoboticsFacility Probe Immortal TemplarArchive Gateway Pylon DarkTemplar Carrier Stargate Nexus RoboticsBay Probe RoboticsFacility Pylon Nexus Gateway Nexus Stargate Gateway Assimilator,107.25,737958
