Combat Search Experiment - CombatSearch
Could not make directory: ../bin/results

************************************************
* Running Experiment: CombatSearch [Integral]
************************************************
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As Py
   1718       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As Py Ze
   1718       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As Py Ze Pr
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As Py Ze Pr Ga
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As Py Ze Pr Ga Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Py
   1718       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Py Ze
   1718       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Py Ze Pr
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Py Ze Pr Ga
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Py Ze Pr Ga Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    635       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga
    700       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr
    972       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga
   1089       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py
   1489       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze
   1489       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ze
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ze Ch_Ne
   1733       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ze Ch_Ne Ga
   1755       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ze Ch_Ne Ga Pr
   1860       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ze Ch_Ne Ga Pr As
   1937       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ze Ch_Ne Ga Pr As Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    635       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga
    700       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr
    972       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga
   1089       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py
   1489       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze
   1489       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr
   1761       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ga
   1761       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ga Pr
   1761       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ga Pr Ch_Ne
   1943       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ga Pr Ch_Ne Ga
   1943       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr Ga Py Ze Pr Ga Pr Ch_Ne Ga Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    635       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga
    700       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr
    819       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As
    978       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py
   1378       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze
   1378       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr Ch_Ga
   1986     100.00            0.00          1400.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr Ch_Ga Ze
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    635       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga
    700       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr
    819       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As
    978       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py
   1378       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze
   1378       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr Ch_Ga
   1986     100.00            0.00          1400.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr Ch_Ga Cy
   1986     100.00            0.00          1400.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr Ch_Ga Cy Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
    635       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga
    700       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr
    819       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As
    978       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py
   1378       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze
   1378       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze
   1675       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr
   1986     100.00            0.00          1400.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr Cy
   1986     100.00            0.00          1400.00   Pr Ch_Ne Ga Pr Ga Pr As Py Ze Pr Ze Pr Cy Pr
CombatSearchIntegral Results

